track_name,duration_ms,explicit,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
Fortnight (feat. Post Malone),228965,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.504,0.386,-10.976,0.0308,0.502,1.53e-05,0.0961,0.281
The Tortured Poets Department,293048,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.604,0.428,-8.441,0.0255,0.0483,0.0,0.126,0.292
My Boy Only Breaks His Favorite Toys,203801,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.596,0.563,-7.362,0.0269,0.137,0.0,0.302,0.481
Down Bad,261228,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.541,0.366,-10.412,0.0748,0.56,1e-06,0.0946,0.168
"So Long, London",262974,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.423,0.533,-11.388,0.322,0.73,0.00264,0.0816,0.248
But Daddy I Love Him,340428,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.521,0.72,-7.684,0.104,0.384,0.0,0.135,0.438
Fresh Out The Slammer,210789,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.33,0.483,-9.394,0.0399,0.624,0.0,0.111,0.34
Florida!!! (feat. Florence + The Machine),215463,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.533,0.573,-7.123,0.138,0.178,0.0,0.309,0.398
Guilty as Sin?,254365,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.626,0.428,-8.374,0.0261,0.607,0.0,0.0921,0.487
Who’s Afraid of Little Old Me?,334084,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.606,0.338,-10.555,0.048,0.315,0.0,0.106,0.238
I Can Fix Him (No Really I Can),156297,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.661,0.257,-13.961,0.045,0.768,1.72e-06,0.176,0.318
loml,277156,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.423,0.272,-12.56,0.0489,0.858,0.0,0.108,0.195
I Can Do It With a Broken Heart,218004,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.701,0.751,-8.39,0.0502,0.123,0.0,0.15,0.22
The Alchemy,196900,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.64,0.421,-8.802,0.0273,0.422,0.0,0.103,0.353
Clara Bow,216662,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.686,0.318,-11.046,0.0263,0.636,0.00144,0.106,0.214
The Black Dog,238857,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.527,0.27,-10.855,0.038,0.707,0.0,0.102,0.23
imgonnagetyouback,222072,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.784,0.391,-9.471,0.0633,0.608,0.0,0.252,0.15
The Albatross,183878,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.352,0.479,-8.942,0.0583,0.655,0.0,0.0935,0.292
Chloe or Sam or Sophia or Marcus,213281,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.516,0.451,-8.552,0.0446,0.78,0.0,0.105,0.218
How Did It End?,238706,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.492,0.379,-8.859,0.0257,0.785,0.00093,0.108,0.273
So High School,228800,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.366,0.866,-4.514,0.0466,0.0274,3.07e-06,0.106,0.293
I Hate It Here,243875,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.485,0.562,-7.197,0.0346,0.717,0.0,0.357,0.297
thanK you aIMee,263817,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.609,0.541,-8.013,0.0346,0.609,0.0,0.122,0.252
I Look in People's Windows,131907,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.763,0.274,-11.429,0.0738,0.69,0.0,0.164,0.385
The Prophecy,249807,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.421,0.525,-10.359,0.0472,0.825,2.67e-06,0.308,0.535
Cassandra,240205,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.587,0.587,-9.879,0.0595,0.806,0.0,0.137,0.514
Peter,283957,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.342,0.376,-8.212,0.0372,0.805,0.0,0.0593,0.29
The Bolter,238241,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.455,0.586,-7.978,0.0492,0.638,0.0,0.131,0.481
Robin,240893,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.476,0.386,-10.601,0.03,0.791,0.000423,0.1,0.158
The Manuscript,224743,False,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,0.509,0.256,-11.665,0.0306,0.901,2.43e-06,0.103,0.436
Welcome To New York (Taylor's Version),212600,False,1989 (Taylor's Version),0.76,0.602,-4.871,0.0316,0.00661,0.000133,0.325,0.685
Blank Space (Taylor's Version),231833,False,1989 (Taylor's Version),0.732,0.719,-5.469,0.0645,0.0901,0.0,0.331,0.71
Style (Taylor's Version),231000,False,1989 (Taylor's Version),0.514,0.821,-4.803,0.0444,0.000456,0.0232,0.0946,0.298
Out Of The Woods (Taylor's Version),235800,False,1989 (Taylor's Version),0.544,0.884,-5.973,0.0383,0.000466,0.000134,0.381,0.184
All You Had To Do Was Stay (Taylor's Version),193289,False,1989 (Taylor's Version),0.589,0.713,-5.614,0.0308,0.000778,0.0,0.188,0.54
Shake It Off (Taylor's Version),219209,False,1989 (Taylor's Version),0.632,0.805,-5.707,0.069,0.0112,2.51e-05,0.156,0.903
I Wish You Would (Taylor's Version),207650,False,1989 (Taylor's Version),0.671,0.853,-6.568,0.0417,0.00388,9.48e-06,0.0812,0.523
Bad Blood (Taylor's Version),211103,False,1989 (Taylor's Version),0.624,0.711,-6.347,0.159,0.0369,3.13e-06,0.19,0.347
Wildest Dreams (Taylor's Version),220433,False,1989 (Taylor's Version),0.587,0.663,-7.439,0.0598,0.0348,9.95e-05,0.0971,0.539
How You Get The Girl (Taylor's Version),247533,False,1989 (Taylor's Version),0.761,0.67,-5.956,0.0537,0.00198,1.08e-05,0.0873,0.519
